Age_Group,Track_Completed,Mistake,Track_Time,Track_ID
18-29,0.43883916463249256,0.5553295362082994,41076.32200247219,1
30-44,0.43383785403866326,0.5603176981867226,46403.50949913644,1
45-59,0.4283062645011601,0.5651972157772622,46847.80931744312,1
60+,0.3479349186483104,0.6408010012515645,48702.575539568345,1
< 18,0.4129527055815935,0.5786109927567107,50930.64960792406,1
18-29,0.3700805008944544,0.6254472271914132,38262.58429003021,2
30-44,0.3781257893407426,0.6155594847183632,45371.96092184369,2
45-59,0.39408438451500655,0.5959112657677251,47971.47792494481,2
60+,0.32437120555073723,0.6695576756287944,45420.94117647059,2
< 18,0.370885697187313,0.6219329742669061,49436.64945542558,2
18-29,0.4500065867474641,0.5468317744697668,23617.03805620609,3
30-44,0.46339188558992694,0.530701072594435,29832.61254612546,3
45-59,0.4406095921111609,0.5531151949798296,30094.28382502543,3
60+,0.358220810166799,0.6354249404289118,25792.88470066519,3
< 18,0.45904876373626374,0.5330528846153846,31200.9567982046,3
18-29,0.6341589267285862,0.35552115583075333,27694.22158936805,4
30-44,0.6573336205039845,0.3245746284729701,34076.80537352556,4
45-59,0.6731884057971015,0.3050724637681159,35342.53175457481,4
60+,0.5754560530679934,0.38971807628524047,33996.10662824207,4
< 18,0.6202485380116959,0.3557504873294347,35106.79473580829,4
18-29,0.6012797074954296,0.3829981718464351,37881.69321982365,5
30-44,0.6044434264773247,0.3678424186898763,44835.378552482,5
45-59,0.6135849056603774,0.36452830188679247,46578.858548585486,5
60+,0.5327731092436975,0.43865546218487395,43111.545741324924,5
< 18,0.5931336742147553,0.38653518383248114,46098.39018883416,5
18-29,0.6957161543492478,0.2882603008502289,13628.429847238544,6
30-44,0.6671026814911707,0.3102245476346196,18104.837254901962,6
45-59,0.6900662251655629,0.29602649006622517,18566.648752399233,6
60+,0.6651162790697674,0.31937984496124033,14540.727272727272,6
< 18,0.6499264551376339,0.3329480983399874,16622.801002263175,6
18-29,0.2981146400101227,0.6835378970011388,47349.58616298812,7
30-44,0.28625652380199273,0.692551004270125,54308.834806629835,7
45-59,0.3011990407673861,0.6709832134292566,53975.953821656054,7
60+,0.2658064516129032,0.712258064516129,52240.78640776699,7
< 18,0.2540208920577019,0.7192837008787929,57634.067558746734,7
