Relationship_Name,Track_Completed,Mistake,Track_Time,Track_ID
Członek rodziny-Członek rodziny,0.45721338453099286,0.5362040592430061,50124.83383323335,1
Członek rodziny-Inna znacząca osoba,0.4573170731707317,0.5426829268292683,40196.88,1
Członek rodziny-Nieznajomy,0.3953488372093023,0.5891472868217055,48895.58823529412,1
Członek rodziny-Znajomy,0.4344569288389513,0.5617977528089888,37988.9224137931,1
Inna znacząca osoba-Członek rodziny,0.43352601156069365,0.5606936416184971,41666.54666666667,1
Inna znacząca osoba-Inna znacząca osoba,0.3936112615051435,0.6025988088792636,39972.92434662999,1
Inna znacząca osoba-Nieznajomy,0.2857142857142857,0.7142857142857143,39614.05,1
Inna znacząca osoba-Znajomy,0.1977401129943503,0.7909604519774012,29344.67142857143,1
Nieznajomy-Członek rodziny,0.4609375,0.53125,49281.338983050846,1
Nieznajomy-Inna znacząca osoba,0.38095238095238093,0.5714285714285714,53076.5,1
Nieznajomy-Nieznajomy,0.4272151898734177,0.5569620253164557,45134.955555555556,1
Nieznajomy-Znajomy,0.368,0.616,38311.84782608696,1
Znajomy-Członek rodziny,0.503448275862069,0.496551724137931,48544.08219178082,1
Znajomy-Inna znacząca osoba,0.19285714285714287,0.8,32093.74074074074,1
Znajomy-Nieznajomy,0.47115384615384615,0.5288461538461539,42367.32653061225,1
Znajomy-Znajomy,0.3958333333333333,0.5950520833333334,45447.16529605263,1
Członek rodziny-Członek rodziny,0.39618027250494936,0.5979969721672296,48795.994121105236,2
Członek rodziny-Inna znacząca osoba,0.3487179487179487,0.6410256410256411,39174.69117647059,2
Członek rodziny-Nieznajomy,0.4095744680851064,0.574468085106383,44350.31168831169,2
Członek rodziny-Znajomy,0.3122923588039867,0.6744186046511628,41909.35106382979,2
Inna znacząca osoba-Członek rodziny,0.46511627906976744,0.5193798449612403,45728.13333333333,2
Inna znacząca osoba-Inna znacząca osoba,0.38318777292576417,0.6118995633187773,38390.5,2
Inna znacząca osoba-Nieznajomy,0.34210526315789475,0.631578947368421,42382.692307692305,2
Inna znacząca osoba-Znajomy,0.3155080213903743,0.6737967914438503,36048.101694915254,2
Nieznajomy-Członek rodziny,0.1724137931034483,0.825287356321839,35344.013333333336,2
Nieznajomy-Inna znacząca osoba,0.5666666666666667,0.43333333333333335,42310.41176470588,2
Nieznajomy-Nieznajomy,0.3364485981308411,0.6612149532710281,43797.86111111111,2
Nieznajomy-Znajomy,0.2981651376146789,0.6834862385321101,34290.38461538462,2
Znajomy-Członek rodziny,0.4017094017094017,0.5982905982905983,39723.65957446808,2
Znajomy-Inna znacząca osoba,0.3067484662576687,0.6871165644171779,40432.14,2
Znajomy-Nieznajomy,0.25825825825825827,0.7357357357357357,34158.91860465116,2
Znajomy-Znajomy,0.3570420547558566,0.6356195314705052,43503.21976284585,2
Członek rodziny-Członek rodziny,0.4879310344827586,0.5058908045977012,31814.263250883392,3
Członek rodziny-Inna znacząca osoba,0.4217687074829932,0.5782312925170068,27361.048387096773,3
Członek rodziny-Nieznajomy,0.4875,0.5125,29374.94871794872,3
Członek rodziny-Znajomy,0.3719512195121951,0.625,26883.180327868853,3
Inna znacząca osoba-Członek rodziny,0.42857142857142855,0.5714285714285714,25017.51111111111,3
Inna znacząca osoba-Inna znacząca osoba,0.43277777777777776,0.5638888888888889,23303.779204107832,3
Inna znacząca osoba-Nieznajomy,0.28,0.72,20148.071428571428,3
Inna znacząca osoba-Znajomy,0.45985401459854014,0.5328467153284672,22013.428571428572,3
Nieznajomy-Członek rodziny,0.4539877300613497,0.5460122699386503,30462.72972972973,3
Nieznajomy-Inna znacząca osoba,0.5,0.42857142857142855,24974.285714285714,3
Nieznajomy-Nieznajomy,0.41472868217054265,0.5813953488372093,28036.59813084112,3
Nieznajomy-Znajomy,0.41379310344827586,0.5689655172413793,25321.479166666668,3
Znajomy-Członek rodziny,0.3523573200992556,0.6426799007444168,23494.147887323943,3
Znajomy-Inna znacząca osoba,0.40540540540540543,0.5945945945945946,26767.955555555556,3
Znajomy-Nieznajomy,0.4426229508196721,0.5409836065573771,28260.574074074073,3
Znajomy-Znajomy,0.4205607476635514,0.5712616822429907,25610.102777777778,3
Członek rodziny-Członek rodziny,0.6656429942418426,0.3122840690978887,36122.53402537486,4
Członek rodziny-Inna znacząca osoba,0.6024096385542169,0.37349397590361444,31738.56,4
Członek rodziny-Nieznajomy,0.6214285714285714,0.35714285714285715,22125.80459770115,4
Członek rodziny-Znajomy,0.6217948717948718,0.3525641025641026,30650.680412371134,4
Inna znacząca osoba-Członek rodziny,0.7215189873417721,0.25316455696202533,31642.859649122805,4
Inna znacząca osoba-Inna znacząca osoba,0.6346015793251975,0.35534816941852115,26650.191176470587,4
Inna znacząca osoba-Nieznajomy,0.5686274509803921,0.4117647058823529,25996.068965517243,4
Inna znacząca osoba-Znajomy,0.49246231155778897,0.48743718592964824,15187.255102040815,4
Nieznajomy-Członek rodziny,0.6119402985074627,0.34328358208955223,32174.29268292683,4
Nieznajomy-Inna znacząca osoba,0.6,0.35,31660.333333333332,4
Nieznajomy-Nieznajomy,0.6414141414141414,0.3383838383838384,39104.5905511811,4
Nieznajomy-Znajomy,0.6402877697841727,0.35251798561151076,20781.887640449437,4
Znajomy-Członek rodziny,0.625,0.3416666666666667,36167.41333333333,4
Znajomy-Inna znacząca osoba,0.6290322580645161,0.3387096774193548,28003.128205128207,4
Znajomy-Nieznajomy,0.5,0.4787234042553192,32208.68085106383,4
Znajomy-Znajomy,0.5849546044098574,0.4003458711629918,30701.231337767924,4
Członek rodziny-Członek rodziny,0.622975804915222,0.3553057725281006,46159.26391437309,5
Członek rodziny-Inna znacząca osoba,0.5656565656565656,0.41414141414141414,45372.42857142857,5
Członek rodziny-Nieznajomy,0.5692307692307692,0.35384615384615387,42639.45945945946,5
Członek rodziny-Znajomy,0.6025641025641025,0.3782051282051282,41451.35106382979,5
Inna znacząca osoba-Członek rodziny,0.67,0.32,44784.50746268657,5
Inna znacząca osoba-Inna znacząca osoba,0.6124684077506318,0.37320977253580456,37520.756533700136,5
Inna znacząca osoba-Nieznajomy,0.5238095238095238,0.47619047619047616,50359.0,5
Inna znacząca osoba-Znajomy,0.49473684210526314,0.49473684210526314,36762.02127659575,5
Nieznajomy-Członek rodziny,0.5636363636363636,0.39090909090909093,43138.24193548387,5
Nieznajomy-Inna znacząca osoba,0.5909090909090909,0.4090909090909091,41789.92307692308,5
Nieznajomy-Nieznajomy,0.51985559566787,0.45126353790613716,42096.229166666664,5
Nieznajomy-Znajomy,0.5977011494252874,0.3793103448275862,28107.48076923077,5
Znajomy-Członek rodziny,0.6454545454545455,0.33636363636363636,40896.84507042253,5
Znajomy-Inna znacząca osoba,0.6065573770491803,0.3770491803278688,36932.40540540541,5
Znajomy-Nieznajomy,0.4855072463768116,0.4927536231884058,38095.522388059704,5
Znajomy-Znajomy,0.5480072463768116,0.4311594202898551,41686.26280991735,5
Członek rodziny-Członek rodziny,0.670003451846738,0.31032102174663445,18126.58294693457,6
Członek rodziny-Inna znacząca osoba,0.6794871794871795,0.3076923076923077,15791.622641509433,6
Członek rodziny-Nieznajomy,0.5891472868217055,0.40310077519379844,12434.223684210527,6
Członek rodziny-Znajomy,0.6358381502890174,0.32947976878612717,17087.98181818182,6
Inna znacząca osoba-Członek rodziny,0.6226415094339622,0.3490566037735849,20029.303030303032,6
Inna znacząca osoba-Inna znacząca osoba,0.7119645494830132,0.27326440177252587,13101.521784232365,6
Inna znacząca osoba-Nieznajomy,0.6818181818181818,0.3181818181818182,14514.866666666667,6
Inna znacząca osoba-Znajomy,0.7872340425531915,0.2127659574468085,10431.22972972973,6
Nieznajomy-Członek rodziny,0.6714285714285714,0.3142857142857143,14570.468085106382,6
Nieznajomy-Inna znacząca osoba,0.8,0.2,16946.35,6
Nieznajomy-Nieznajomy,0.6007751937984496,0.3875968992248062,15112.94193548387,6
Nieznajomy-Znajomy,0.6785714285714286,0.3,10606.884210526316,6
Znajomy-Członek rodziny,0.5984848484848485,0.36363636363636365,16355.417721518987,6
Znajomy-Inna znacząca osoba,0.6730769230769231,0.3076923076923077,15639.485714285714,6
Znajomy-Nieznajomy,0.6687116564417178,0.3128834355828221,9942.981651376147,6
Znajomy-Znajomy,0.6566589684372595,0.32909930715935337,14439.513481828839,6
Członek rodziny-Członek rodziny,0.28695202379412904,0.6904176904176904,57017.88778729158,7
Członek rodziny-Inna znacząca osoba,0.31666666666666665,0.6666666666666666,55522.05263157895,7
Członek rodziny-Nieznajomy,0.22289156626506024,0.7409638554216867,49262.18918918919,7
Członek rodziny-Znajomy,0.22727272727272727,0.7443181818181818,51165.9,7
Inna znacząca osoba-Członek rodziny,0.2962962962962963,0.6728395061728395,39419.0625,7
Inna znacząca osoba-Inna znacząca osoba,0.29401408450704225,0.6907276995305164,48316.109780439125,7
Inna znacząca osoba-Nieznajomy,0.3220338983050847,0.6610169491525424,53694.26315789474,7
Inna znacząca osoba-Znajomy,0.35036496350364965,0.6423357664233577,35508.895833333336,7
Nieznajomy-Członek rodziny,0.2672413793103448,0.7068965517241379,62151.8064516129,7
Nieznajomy-Inna znacząca osoba,0.3333333333333333,0.6,46093.7,7
Nieznajomy-Nieznajomy,0.2644628099173554,0.7024793388429752,51305.90625,7
Nieznajomy-Znajomy,0.20945945945945946,0.75,44605.41935483871,7
Znajomy-Członek rodziny,0.23756906077348067,0.712707182320442,63088.04651162791,7
Znajomy-Inna znacząca osoba,0.3076923076923077,0.6703296703296703,54703.46428571428,7
Znajomy-Nieznajomy,0.27835051546391754,0.7010309278350515,50169.37037037037,7
Znajomy-Znajomy,0.2479489516864175,0.7274384685505926,48936.450980392154,7
