Relationship_Name,Track_Completed,Mistake,Track_Time,count
Członek rodziny-Członek rodziny,0.39618027250494936,0.5979969721672296,48795.994121105236,8587
Członek rodziny-Inna znacząca osoba,0.3487179487179487,0.6410256410256411,39174.69117647059,195
Członek rodziny-Nieznajomy,0.4095744680851064,0.574468085106383,44350.31168831169,188
Członek rodziny-Znajomy,0.3122923588039867,0.6744186046511628,41909.35106382979,301
Inna znacząca osoba-Członek rodziny,0.46511627906976744,0.5193798449612403,45728.13333333333,129
Inna znacząca osoba-Inna znacząca osoba,0.38318777292576417,0.6118995633187773,38390.5,1832
Inna znacząca osoba-Nieznajomy,0.34210526315789475,0.631578947368421,42382.692307692305,38
Inna znacząca osoba-Znajomy,0.3155080213903743,0.6737967914438503,36048.101694915254,187
Nieznajomy-Członek rodziny,0.1724137931034483,0.825287356321839,35344.013333333336,435
Nieznajomy-Inna znacząca osoba,0.5666666666666667,0.43333333333333335,42310.41176470588,30
Nieznajomy-Nieznajomy,0.3364485981308411,0.6612149532710281,43797.86111111111,428
Nieznajomy-Znajomy,0.2981651376146789,0.6834862385321101,34290.38461538462,218
Znajomy-Członek rodziny,0.4017094017094017,0.5982905982905983,39723.65957446808,234
Znajomy-Inna znacząca osoba,0.3067484662576687,0.6871165644171779,40432.14,163
Znajomy-Nieznajomy,0.25825825825825827,0.7357357357357357,34158.91860465116,333
Znajomy-Znajomy,0.3570420547558566,0.6356195314705052,43503.21976284585,3543
